ID_ESTUDIOS,ESTATUS DE ESTUDIO,ANIO,ESTADOS,TITULO_ORIGINAL,TITULO_BUSQUEDA,EMPRESA,FUENTE,CONTRATO,EJEMPLARES,TOMOS,CARATULA,PDF,ESTADO_ARCHIVOS
14,FÍSICO,1991,AGUASCALIENTES ZACATECAS,"MODELO MATEMÁTICO DEL ACUÍFERO DE LOS VALLES OJOCALIENTE, ZAC. Y AGUASCALIENTES","MODELO MATEMÁTICO DEL ACUÍFERO DE LOS VALLES OJOCALIENTE, ESTADOS DE ZACATECAS Y AGUASCALIENTES",COMISIÓN NACIONAL DEL AGUA (CONAGUA),COMISIÓN NACIONAL DEL AGUA (CONAGUA),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0014_CC.pdf,,AGUASCALIENTES
15,DIGITAL,1963,AGUASCALIENTES,ESTUDIO GEOHIDROLÓGICO DEL ESTADO DE AGUASCALIENTES,ESTUDIO GEOHIDROLÓGICO DEL ESTADO DE AGUASCALIENTES,"TÉCNICOS ASESORES Y CONSTRUCTORES, SOCIEDAD ANÓNIMA (TACSA)",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),SGAA-90-32,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0015_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/01 AGUASCALIENTES/PDF/0015_EC.PDF,AGUASCALIENTES
19,AMBOS,2006,TAMAULIPAS,"ESTUDIO DE ACTUALIZACIÓN DE MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO VICTORIA CASAS, EN EL ESTADO DE TAMAULIPAS
","ESTUDIO DE ACTUALIZACIÓN DE MEDICIONES PIEZOMÉTRICAS EN EL ACUÍFERO VICTORIA CASAS, EN EL ESTADO DE TAMAULIPAS
","GEOFÍSICA Y PERFORACIONES DEL MEDIO AMBIENTE, SOCIEDAD CIVIL",COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-GN-TAM-06-34-RF-LP,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/28 TAMAULIPAS/PDF/0019_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/28 TAMAULIPAS/PDF/0019_EC.pdf,TAMAULIPAS
150,FÍSICO,2013,SINALOA,"ESTUDIO GEOHIDROLÓGICO PARA ACTUALIZAR LA DISPONIBILIDAD MEDIA ANUAL DE AGUAS SUBTERRÁNEAS DE LOS POZOS DE LOS ACUÍFEROS DE LOS RÍOS PRESIDIO, BALUARTE, VALLE DE ESCUINAPA Y LAGUNA AGUA GRANDE ESTADO DE SINALOA.
TOMO 1 Y 2 ACUÍFERO 2509 RÍO PRESIDIO (INFORME FINAL Y ANEXO CON FICHAS)
TOMO 3 Y 4 ACUÍFERO 2510 RÍO BALUARTE (INFORME FINAL Y ANEXO CON FICHAS)
TOMO 5 Y 6 ACUÍFERO 2512 LAGUNA AGUA GRANDE (INFORME FINAL Y ANEXO CON FICHAS)
TOMO 7 Y 8 ACUÍFERO 2511 VALLE DE ESCUINAPA (INFORME FINAL Y ANEXO CON FICHAS)
","ESTUDIO GEOHIDROLÓGICO PARA ACTUALIZAR LA DISPONIBILIDAD MEDIA ANUAL DE AGUAS SUBTERRÁNEAS DE LOS POZOS DE LOS ACUÍFEROS DE LOS RÍOS PRESIDIO, BALUARTE, VALLE DE ESCUINAPA Y LAGUNA AGUA GRANDE ESTADO DE SINALOA.
TOMO 1 Y 2 ACUÍFERO 2509 RÍO PRESIDIO (INFORME FINAL Y ANEXO CON FICHAS)
TOMO 3 Y 4 ACUÍFERO 2510 RÍO BALUARTE (INFORME FINAL Y ANEXO CON FICHAS)
TOMO 5 Y 6 ACUÍFERO 2512 LAGUNA AGUA GRANDE (INFORME FINAL Y ANEXO CON FICHAS)
TOMO 7 Y 8 ACUÍFERO 2511 VALLE DE ESCUINAPA (INFORME FINAL Y ANEXO CON FICHAS)
","PROYECTOS, ESTUDIOS Y SERVICIOS EN CIENCIAS E INGENIERÍA AGRÍCOLAS, SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE (PRESENCIA)",COMISIÓN NACIONAL DEL AGUA (CONAGUA),SGT-OCPM-SIN-13-002-RF-LP,1,8,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/25 SINALOA/PDF/0150_CC.pdf,,SINALOA
171,DIGITAL,1980,CAMPECHE,"ESTUDIO GEOHIDROLÓGICO PRELIMINAR DE LA ZONA CAMPECHE, CHAMPOTÓN, CAMPECHE.","ESTUDIO GEOHIDROLÓGICO PRELIMINAR DE LA ZONA CAMPECHE, CHAMPOTÓN, ESTADO DE CAMPECHE.","SERVICIOS GEOLÓGICOS, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-79-50GD,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/04 CAMPECHE/PDF/0171_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/04 CAMPECHE/PDF/0171_EC.PDF,CAMPECHE
172,DIGITAL,1980,CAMPECHE,"SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN LA ZONA HECELCHAKÁN, CAMPECHE.","SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN LA ZONA HECELCHAKÁN, ESTADO DE CAMPECHE.","ESTUDIOS GEOTÉCNICOS, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-80-85-ED,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/04 CAMPECHE/PDF/0172_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/04 CAMPECHE/PDF/0172_EC.PDF,CAMPECHE
173,DIGITAL,1981,CAMPECHE,ESTUDIO GEOHIDROLÓGICO DE EVALUACIÓN PRELIMINAR EN LA ZONA DE PITAL-ESCÁRCEGA EN EL ESTADO DE CAMPECHE.,ESTUDIO GEOHIDROLÓGICO DE EVALUACIÓN PRELIMINAR EN LA ZONA DE PITAL-ESCÁRCEGA EN EL ESTADO DE CAMPECHE.,"ACUAPLAN, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-81-51-GD,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/04 CAMPECHE/PDF/0173_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/04 CAMPECHE/PDF/0173_EC.PDF,CAMPECHE
174,DIGITAL,1982,CAMPECHE,ESTUDIO GEOHIDROLÓGICO PRELIMINAR DEL MUNICIPIO CALKINÍ,"ESTUDIO GEOHIDROLÓGICO PRELIMINAR DEL MUNICIPIO CALKINÍ, ESTADO DE CAMPECHE",INGENIERO JOSÉ FRANCISCO RODRIGUEZ ESPINOZA.,SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/04 CAMPECHE/PDF/0174_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/04 CAMPECHE/PDF/0173_EC.PDF,CAMPECHE
177,DIGITAL,1980,CAMPECHE,"ESTUDIO GEOHIDROLÓGICO PRELIMINAR DE LA ZONA HECELCHAKÁN-CALKINÍ, ESTADO DE CAMPECHE.","ESTUDIO GEOHIDROLÓGICO PRELIMINAR DE LA ZONA HECELCHAKÁN-CALKINÍ, ESTADO DE CAMPECHE.","LESSER Y ASOCIADOS, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),80-42-GD.,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/04 CAMPECHE/PDF/0177_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/04 CAMPECHE/PDF/0177_EC.PDF,CAMPECHE
202,AMBOS,1974,COAHUILA DE ZARAGOZA,"ESTUDIOS GEOHIDROLÓGICO PRELIMINAR ZONA SALTILLO-RAMOS ARIZPE, COAH.","ESTUDIOS GEOHIDROLÓGICO PRELIMINAR ZONA SALTILLO-RAMOS ARIZPE, COAHUILA","ESTUDIOS GEOLÓGICOS Y OBRAS CIVILES, SOCIEDAD ANÓNIMA (EGEOCISA)",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-74-9,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/05 COAHUILA DE ZARAGOZA/PDF/0202_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/05 COAHUILA DE ZARAGOZA/PDF/0202_EC.pdf,COAHUILA DE ZARAGOZA
205,AMBOS,1982,COAHUILA DE ZARAGOZA,"ELABORACIÓN DEL MODELO MATEMÁTICO DE LOS ACUÍFEROS DE LA ZONA SALTILLO-RAMOS ARIZPE, COAH.","ELABORACIÓN DEL MODELO MATEMÁTICO DE LOS ACUÍFEROS DE LA ZONA SALTILLO-RAMOS ARIZPE, COAHUILA","INGENIERÍA Y OBRAS CIVILES, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-82-59-EG,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/05 COAHUILA DE ZARAGOZA/PDF/0205_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/05 COAHUILA DE ZARAGOZA/PDF/0205_EC.pdf,COAHUILA DE ZARAGOZA
228,AMBOS,1996,COAHUILA DE ZARAGOZA,"ESTUDIO GEOHIDROLÓGICO DE LA ZONA SALTILLO-RAMOS ARIZPE, COAH.","ESTUDIO GEOHIDROLÓGICO DE LA ZONA SALTILLO-RAMOS ARIZPE, COAHUILA","LESSER Y ASOCIADOS, SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE",COMISIÓN NACIONAL DEL AGUA (CONAGUA),GAS-009-96,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/05 COAHUILA DE ZARAGOZA/PDF/0228_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/05 COAHUILA DE ZARAGOZA/PDF/0228_EC.pdf,COAHUILA DE ZARAGOZA
238,AMBOS,1975,SONORA,"CONTINUACIÓN DEL ESTUDIO GEOHIDROLÓGICO DEL VALLE DEL RÍO MAGDALENA DESDE COMAQUITO HASTA EL CLARO, ESTADO DE SONORA","CONTINUACIÓN DEL ESTUDIO GEOHIDROLÓGICO DEL VALLE DEL RÍO MAGDALENA DESDE COMAQUITO HASTA EL CLARO, ESTADO DE SONORA","INGENIEROS CIVILES Y GEOLÓGOS ASOCIADOS, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),"EI-75-24, CLAVE PI-343",1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0238_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0238_EC.pdf,SONORA
247,AMBOS,2000,SONORA,"ACTUALIZACIÓN DE MEDICIONES PIEZOMÉTRICAS DE LOS ACUÍFEROS DE LOS VALLES DE: COSTA DE HERMOSILLO Y CABORCA, SON.","ACTUALIZACIÓN DE MEDICIONES PIEZOMÉTRICAS DE LOS ACUÍFEROS DE LOS VALLES DE: COSTA DE HERMOSILLO Y CABORCA, SONORA","PROYECTOS ANTARES, SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE",COMISIÓN NACIONAL DEL AGUA (CONAGUA),GAS-020-PRO2000,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0247_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/26 SONORA/PDF/0247_EC.pdf,SONORA
251,DIGITAL,1974,COLIMA,"INFORME DE TERMINACIÓN DEL ESTUDIO GEOHIDROLÓGICO PRELIMINAR EN LOS VALLES DE TECOMÁN Y MANZANILLO, COL.","INFORME DE TERMINACIÓN DEL ESTUDIO GEOHIDROLÓGICO PRELIMINAR EN LOS VALLES DE TECOMÁN Y MANZANILLO, COL, 0603 ARMERÍA - TECOMÁN - PERIQUILLOS, ESTADO DE COLIMA","HIDROTEC, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-74-21,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0251_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0251_EC.PDF,COLIMA
252,AMBOS,1974,COLIMA,ESTUDIO GEOHIDROLÓGICO PRELIMINAR DEL VALLE DE COLIMA,"ESTUDIO GEOHIDROLÓGICO PRELIMINAR DEL VALLE DE COLIMA, 0601 COLIMA, ESTADO DE COLIMA","HIDROTEC, SOCIEDAD ANÓNIMA",SECRETARÍA DE RECURSOS HIDRÁULICOS (SRH),EIGZA-74-22,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0252_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0252_EC.PDF,COLIMA
268,AMBOS,1977,COLIMA,INFORME DEL ESTUDIO GEOHIDROLÓGICO PRELIMINAR DE EVALUACIÓN Y CENSO EN LOS VALLES LA CENTRAL Y PEÑA BLANCA COLIMA,"INFORME DEL ESTUDIO GEOHIDROLÓGICO PRELIMINAR DE EVALUACIÓN Y CENSO EN LOS VALLES LA CENTRAL Y PEÑA BLANCA COLIMA, 0601 COLIMA, ESTADO DE COLIMA","GEOEXPLORACIONES Y CONSTRUCCIONES, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),EIGZA-77-86,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0268_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0268_EC.PDF,COLIMA
270,AMBOS,1978,COLIMA,ESTUDIO GEOHIDROLÓGICO DE EVALUACIÓN Y CENSO EN EL ESTADO DE COLIMA,ESTUDIO GEOHIDROLÓGICO DE EVALUACIÓN Y CENSO EN EL ESTADO DE COLIMA,"INGENIERÍA Y GEOTECNIA, SOCIEDAD ANÓNIMA (INGESA)",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),EIGZA-77-3G,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0270_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0270_EC.PDF,COLIMA
271,DIGITAL,1979,COLIMA,DETERMINAR EL POTENCIAL HIDRÁULICO DE LOS VALLES ALEDANIOS A LA BAHÍA MANZANILLO Y DEFINIR LAS FUENTES DE ABASTECIMIENTO DE AGUA DE BUENA CALIDAD A FUTURO INMEDIATO,"DETERMINAR EL POTENCIAL HIDRÁULICO DE LOS VALLES ALEDANIOS A LA BAHÍA MANZANILLO Y DEFINIR LAS FUENTES DE ABASTECIMIENTO DE AGUA DE BUENA CALIDAD A FUTURO INMEDIATO, 0608 JALIPA - TAPEIXTLES, ESTADO DE COLIMA","PROYESCO, SOCIEDAD ANÓNIMA",SECRETARÍA DE ASENTAMIENTOS HUMANOS Y OBRAS PÚBLICAS (SAHOP),BIOU-008-08-78,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0271_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0271_EC.PDF,COLIMA
272,DIGITAL,1986,COLIMA,"ESTUDIO GEOHIDROLÓGICO CUANTITATIVO DE LA CUENCA MEDIA DEL RÍO ARMERÍA, EDO. DE COLIMA","ESTUDIO GEOHIDROLÓGICO CUANTITATIVO DE LA CUENCA MEDIA DEL RÍO ARMERÍA, ESTADO DE COLIMA, 0605 VENUSTIANO CARRANZA","PROYESCO, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-82-43 EG,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0272_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0272_EC.PDF,COLIMA
274,DIGITAL,1987,COLIMA,ACTUALIZACIÓN DE LAS CONDICIONES PIEZOMÉTRICAS EN EL VALLE DE COLIMA,"ACTUALIZACIÓN DE LAS CONDICIONES PIEZOMÉTRICAS EN EL VALLE DE COLIMA, 0601 COLIMA, ESTADO DE COLIMA",,SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0274_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0274_EC.PDF,COLIMA
275,AMBOS,1981,COLIMA,"ESTUDIO FOTOGEOLÓGICO EN LA ZONA TECOMÁN-ARMERÍA, ESTADO DE COLIMA","ESTUDIO FOTOGEOLÓGICO EN LA ZONA TECOMÁN-ARMERÍA, ESTADO DE COLIMA, 0603 ARMERÍA - TECOMÁN - PERIQUILLOS","GEOHIDROMIN, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-81-149-EGD,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0275_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0275_EC.PDF,COLIMA
276,DIGITAL,1990,COLIMA,SINOPSIS GEOHIDROLÓGICA DEL ESTADO DE COLIMA,SINOPSIS GEOHIDROLÓGICA DEL ESTADO DE COLIMA,,COMISIÓN NACIONAL DEL AGUA (CONAGUA),,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0276_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0276_EC.PDF,COLIMA
278,DIGITAL,1980,COLIMA,"SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN LA ZONA DE COMALA-CUAUHTÉMOC, ESTADO DE COLIMA.","SERVICIOS DE PROSPECCIÓN Y LEVANTAMIENTOS GEOLÓGICOS Y GEOFÍSICOS EN LA ZONA DE COMALA-CUAUHTÉMOC, ESTADO DE COLIMA, 0601 COLIMA","GEOFIAP, SOCIEDAD ANÓNIMA",SECRETARÍA DE AGRICULTURA Y RECURSOS HIDRÁULICOS (SARH),GZA-80-87-ED,1,1,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0278_CC.pdf,https://sigagis.conagua.gob.mx/t_estudios24/INVENTARIO/06 COLIMA/PDF/0278_EC.PDF,COLIMA
